Running patient: adult#002
Action space: Box(-1.0, 1.0, (1,), float32)
Action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to teacher_models/strict/adult-002/logs/ppo_simglucose_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 72.8     |
|    ep_rew_mean     | -2.3e+07 |
| time/              |          |
|    fps             | 159      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 480      |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 70.8          |
|    ep_rew_mean          | -2.18e+07     |
| time/                   |               |
|    fps                  | 149           |
|    iterations           | 2             |
|    time_elapsed         | 6             |
|    total_timesteps      | 960           |
| train/                  |               |
|    approx_kl            | 2.9802323e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.05e+13      |
|    n_updates            | 10            |
|    policy_gradient_loss | -1.19e-07     |
|    std                  | 1             |
|    value_loss           | 4.29e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.5          |
|    ep_rew_mean          | -2.03e+07     |
| time/                   |               |
|    fps                  | 147           |
|    iterations           | 3             |
|    time_elapsed         | 9             |
|    total_timesteps      | 1440          |
| train/                  |               |
|    approx_kl            | 1.2417635e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.18e+13      |
|    n_updates            | 20            |
|    policy_gradient_loss | 7.15e-09      |
|    std                  | 1             |
|    value_loss           | 4.07e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.4          |
|    ep_rew_mean          | -2.01e+07     |
| time/                   |               |
|    fps                  | 146           |
|    iterations           | 4             |
|    time_elapsed         | 13            |
|    total_timesteps      | 1920          |
| train/                  |               |
|    approx_kl            | 1.2417635e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 3.58e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.8e+13       |
|    n_updates            | 30            |
|    policy_gradient_loss | -4.2e-08      |
|    std                  | 1             |
|    value_loss           | 3.56e+13      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 67.8         |
|    ep_rew_mean          | -1.97e+07    |
| time/                   |              |
|    fps                  | 144          |
|    iterations           | 5            |
|    time_elapsed         | 16           |
|    total_timesteps      | 2400         |
| train/                  |              |
|    approx_kl            | 4.967054e-10 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | 2.98e-07     |
|    learning_rate        | 0.0003       |
